outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Total,Total,2010-03-01,Final March 2010 baseline,True,2020,11,5247.5,6557.9,1948.5,7196.0,638.2,9.7
Total,Total,2011-03-01,March 2011 Baseline,True,2011,1,3618.4,3597.9,2.8,3621.2,23.3,0.6
Total,Total,2011-03-01,March 2011 Baseline,True,2012,2,3631.5,3526.5,29.7,3661.2,134.7,3.8
Total,Total,2011-03-01,March 2011 Baseline,True,2013,3,3773.7,3551.6,-45.2,3728.6,177.0,5.0
Total,Total,2011-03-01,March 2011 Baseline,True,2014,4,3950.6,3580.7,-90.7,3860.0,279.3,7.8
Total,Total,2011-03-01,March 2011 Baseline,True,2015,5,4177.1,3714.6,-148.2,4028.9,314.3,8.5
Total,Total,2011-03-01,March 2011 Baseline,True,2016,6,4457.2,3866.9,-160.4,4296.8,429.9,11.1
Total,Total,2011-03-01,March 2011 Baseline,True,2017,7,4658.1,4010.2,-155.8,4502.3,492.1,12.3
Total,Total,2011-03-01,March 2011 Baseline,True,2018,8,4852.1,4118.5,-62.0,4790.1,671.6,16.3
Total,Total,2011-03-01,March 2011 Baseline,True,2019,9,5143.7,4466.1,-1.7,5142.0,675.8,15.1
Total,Total,2011-03-01,March 2011 Baseline,True,2020,10,5408.3,6557.9,1807.8,7216.1,658.2,10.0
Total,Total,2011-03-01,March 2011 Baseline,True,2021,11,5675.7,6827.4,2215.8,7891.4,1064.0,15.6
Total,Total,2012-03-01,March 2012 Baseline,True,2012,1,3614.1,3526.5,2.4,3616.5,90.1,2.6
Total,Total,2012-03-01,March 2012 Baseline,True,2013,2,3573.4,3551.6,61.1,3634.5,82.9,2.3
Total,Total,2012-03-01,March 2012 Baseline,True,2014,3,3662.5,3580.7,97.4,3759.8,179.2,5.0
Total,Total,2012-03-01,March 2012 Baseline,True,2015,4,3841.8,3714.6,74.3,3916.2,201.6,5.4
Total,Total,2012-03-01,March 2012 Baseline,True,2016,5,4093.6,3866.9,85.7,4179.3,312.3,8.1
Total,Total,2012-03-01,March 2012 Baseline,True,2017,6,4265.3,4010.2,113.7,4379.0,368.8,9.2
Total,Total,2012-03-01,March 2012 Baseline,True,2018,7,4444.0,4118.5,228.2,4672.2,553.7,13.4
Total,Total,2012-03-01,March 2012 Baseline,True,2019,8,4704.5,4466.1,313.7,5018.2,552.1,12.4
Total,Total,2012-03-01,March 2012 Baseline,True,2020,9,4948.4,6557.9,2148.8,7097.2,539.3,8.2
Total,Total,2012-03-01,March 2012 Baseline,True,2021,10,5195.6,6827.4,2588.4,7784.0,956.6,14.0
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2013,1,3567.3,3551.6,8.1,3575.4,23.9,0.7
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2014,2,3595.2,3580.7,53.1,3648.3,67.6,1.9
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2015,3,3771.5,3714.6,41.7,3813.2,98.6,2.7
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2016,4,4033.5,3866.9,35.4,4068.9,201.9,5.2
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2017,5,4257.9,4010.2,33.7,4291.6,281.4,7.0
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2018,6,4482.7,4118.5,114.8,4597.5,479.0,11.6
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2019,7,4750.1,4466.1,189.8,4939.8,473.7,10.6
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2020,8,5011.2,6557.9,1997.4,7008.6,450.7,6.9
Total,Total,2013-05-01,CBO May 2013 Baseline,True,2021,9,5275.0,6827.4,2405.4,7680.4,853.0,12.5
Total,Total,2014-04-01,April 2014 Baseline,True,2014,1,3606.2,3580.7,0.7,3606.9,26.2,0.7
Total,Total,2014-04-01,April 2014 Baseline,True,2015,2,3769.2,3714.6,16.6,3785.9,71.3,1.9
Total,Total,2014-04-01,April 2014 Baseline,True,2016,3,4007.4,3866.9,43.3,4050.6,183.7,4.8
Total,Total,2014-04-01,April 2014 Baseline,True,2017,4,4194.3,4010.2,65.5,4259.8,249.6,6.2
Total,Total,2014-04-01,April 2014 Baseline,True,2018,5,4388.8,4118.5,155.6,4544.4,425.8,10.3
Total,Total,2014-04-01,April 2014 Baseline,True,2019,6,4647.9,4466.1,244.4,4892.4,426.2,9.5
Total,Total,2014-04-01,April 2014 Baseline,True,2020,7,4902.0,6557.9,2059.6,6961.7,403.8,6.2
Total,Total,2014-04-01,April 2014 Baseline,True,2021,8,5161.5,6827.4,2472.3,7633.8,806.4,11.8
Total,Total,2015-03-01,March 2015 Baseline,True,2015,1,3702.8,3714.6,8.5,3711.3,-3.3,-0.1
Total,Total,2015-03-01,March 2015 Baseline,True,2016,2,3922.3,3866.9,49.0,3971.3,104.4,2.7
Total,Total,2015-03-01,March 2015 Baseline,True,2017,3,4052.8,4010.2,72.5,4125.4,115.2,2.9
Total,Total,2015-03-01,March 2015 Baseline,True,2018,4,4214.0,4118.5,167.2,4381.2,262.7,6.4
Total,Total,2015-03-01,March 2015 Baseline,True,2019,5,4479.4,4466.1,254.6,4734.0,267.9,6.0
Total,Total,2015-03-01,March 2015 Baseline,True,2020,6,4728.6,6557.9,2075.5,6804.1,246.3,3.8
Total,Total,2015-03-01,March 2015 Baseline,True,2021,7,4973.0,6827.4,2488.5,7461.5,634.1,9.3
Total,Total,2016-03-01,March 2016 baseline,True,2016,1,3915.8,3866.9,0.0,3915.8,48.8,1.3
Total,Total,2016-03-01,March 2016 baseline,True,2017,2,4055.1,4010.2,18.6,4073.7,63.5,1.6
Total,Total,2016-03-01,March 2016 baseline,True,2018,3,4192.0,4118.5,134.6,4326.6,208.1,5.1
Total,Total,2016-03-01,March 2016 baseline,True,2019,4,4480.7,4466.1,210.8,4691.5,225.3,5.0
Total,Total,2016-03-01,March 2016 baseline,True,2020,5,4727.8,6557.9,2028.5,6756.3,198.4,3.0
Total,Total,2016-03-01,March 2016 baseline,True,2021,6,4971.7,6827.4,2436.9,7408.6,581.2,8.5
Total,Total,2017-06-01,June 2017 Baseline,True,2017,1,4036.6,4010.2,-0.4,4036.2,26.0,0.6
Total,Total,2017-06-01,June 2017 Baseline,True,2018,2,4092.5,4118.5,107.8,4200.3,81.8,2.0
Total,Total,2017-06-01,June 2017 Baseline,True,2019,3,4374.5,4466.1,174.1,4548.6,82.5,1.8
Total,Total,2017-06-01,June 2017 Baseline,True,2020,4,4627.3,6557.9,1992.8,6620.1,62.2,0.9
Total,Total,2017-06-01,June 2017 Baseline,True,2021,5,4890.6,6827.4,2396.2,7286.8,459.4,6.7
Total,Total,2018-04-01,"April 2018 Baseline, adjusted",True,2019,2,4460.7,4466.1,0.1,4460.8,-5.4,-0.1
Total,Total,2018-04-01,"April 2018 Baseline, adjusted",True,2020,3,4681.4,6557.9,1873.0,6554.4,-3.5,-0.1
Total,Total,2018-04-01,"April 2018 Baseline, adjusted",True,2021,4,4946.9,6827.4,2320.8,7267.7,440.3,6.4
Total,Total,2019-05-01,May 2019 Baseline,True,2019,1,4431.4,4466.1,7.9,4439.3,-26.8,-0.6
Total,Total,2019-05-01,May 2019 Baseline,True,2020,2,4571.1,6557.9,1904.5,6475.6,-82.3,-1.3
Total,Total,2019-05-01,May 2019 Baseline,True,2021,3,4793.9,6827.4,2366.1,7160.0,332.6,4.9
Total,Total,2020-03-01,March 2020 Baseline,True,2020,1,4709.8,6557.9,1778.8,6488.6,-69.3,-1.1
Total,Total,2020-03-01,March 2020 Baseline,True,2021,2,4815.9,6827.4,2201.7,7017.6,190.2,2.8
Total,Total,2021-07-01,2021 July Baseline,True,2021,1,6849.8,6827.4,0.0,6849.8,22.4,0.3
Mandatory,Total Mandatory,1992-03-01,March 1992 Baseline,True,1992,1,706.2,648.4,1.0,707.2,58.8,9.1
Mandatory,Total Mandatory,1992-03-01,March 1992 Baseline,True,1993,2,752.7,670.9,3.3,756.1,85.1,12.7
Mandatory,Total Mandatory,1992-03-01,March 1992 Baseline,True,1994,3,760.5,717.5,-4.2,756.3,38.8,5.4
Mandatory,Total Mandatory,1992-03-01,March 1992 Baseline,True,1995,4,758.6,738.8,-8.2,750.4,11.5,1.6
Mandatory,Total Mandatory,1992-03-01,March 1992 Baseline,True,1996,5,784.0,786.7,-14.5,769.6,-17.1,-2.2
Mandatory,Total Mandatory,1992-03-01,March 1992 Baseline,True,1997,6,871.3,810.1,-32.9,838.4,28.3,3.5
Mandatory,Total Mandatory,1993-03-01,March 1993 Baseline,True,1993,1,697.1,670.9,0.0,697.1,26.1,3.9
Mandatory,Total Mandatory,1993-03-01,March 1993 Baseline,True,1994,2,751.4,717.5,-4.5,746.9,29.4,4.1
Mandatory,Total Mandatory,1993-03-01,March 1993 Baseline,True,1995,3,802.9,738.8,-8.3,794.6,55.7,7.5
Mandatory,Total Mandatory,1993-03-01,March 1993 Baseline,True,1996,4,840.0,786.7,-14.6,825.4,38.7,4.9
Mandatory,Total Mandatory,1993-03-01,March 1993 Baseline,True,1997,5,894.0,810.1,-33.0,861.0,51.0,6.3
Mandatory,Total Mandatory,1993-03-01,March 1993 Baseline,True,1998,6,962.5,859.3,-36.3,926.3,66.9,7.8
Mandatory,Total Mandatory,1994-04-01,April 1994 Baseline,True,1994,1,730.3,717.5,-0.4,729.9,12.4,1.7
Mandatory,Total Mandatory,1994-04-01,April 1994 Baseline,True,1995,2,758.1,738.8,0.4,758.5,19.6,2.7
Mandatory,Total Mandatory,1994-04-01,April 1994 Baseline,True,1996,3,810.1,786.7,2.3,812.4,25.7,3.3
Mandatory,Total Mandatory,1994-04-01,April 1994 Baseline,True,1997,4,880.4,810.1,-11.7,868.7,58.6,7.2
Mandatory,Total Mandatory,1994-04-01,April 1994 Baseline,True,1998,5,941.9,859.3,-10.4,931.4,72.1,8.4
Mandatory,Total Mandatory,1994-04-01,April 1994 Baseline,True,1999,6,1012.3,900.0,-22.0,990.3,90.4,10.0
Mandatory,Total Mandatory,1995-04-01,April 1995 Baseline,True,1995,1,746.6,738.8,0.0,746.6,7.8,1.0
Mandatory,Total Mandatory,1995-04-01,April 1995 Baseline,True,1996,2,815.9,786.7,2.1,818.0,31.3,4.0
Mandatory,Total Mandatory,1995-04-01,April 1995 Baseline,True,1997,3,880.9,810.1,-11.3,869.7,59.6,7.4
Mandatory,Total Mandatory,1995-04-01,April 1995 Baseline,True,1998,4,941.0,859.3,-9.8,931.2,71.8,8.4
Mandatory,Total Mandatory,1995-04-01,April 1995 Baseline,True,1999,5,1013.1,900.0,-21.1,992.0,92.0,10.2
Mandatory,Total Mandatory,1995-04-01,April 1995 Baseline,True,2000,6,1088.3,951.4,-24.6,1063.8,112.4,11.8
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1996,1,799.6,786.7,-1.0,798.6,11.9,1.5
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1997,2,862.1,810.1,-12.6,849.5,39.4,4.9
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1998,3,933.8,859.3,-8.9,924.9,65.5,7.6
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1999,4,994.2,900.0,-19.0,975.2,75.2,8.4
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2000,5,1062.8,951.4,-22.4,1040.5,89.1,9.4
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2001,6,1124.0,1007.6,-4.0,1120.0,112.4,11.2
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2002,7,1200.0,1106.0,-29.1,1170.9,64.9,5.9
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2003,8,1281.4,1182.5,7.0,1288.4,105.9,9.0
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2004,9,1367.8,1237.5,-7.3,1360.5,123.0,9.9
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2005,10,1464.5,1319.4,-19.6,1444.9,125.5,9.5
Mandatory,Total Mandatory,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2006,11,1559.3,1411.8,-9.7,1549.6,137.7,9.8
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,1997,1,825.7,810.1,-1.8,823.9,13.8,1.7
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,1998,2,891.5,859.3,-0.6,890.9,31.6,3.7
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,1999,3,959.4,900.0,-9.2,950.2,50.2,5.6
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2000,4,1032.4,951.4,-11.3,1021.1,69.8,7.3
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2001,5,1079.6,1007.6,7.9,1087.6,79.9,7.9
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2002,6,1154.8,1106.0,-14.3,1140.5,34.5,3.1
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2003,7,1223.7,1182.5,22.7,1246.3,63.8,5.4
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2004,8,1301.6,1237.5,9.8,1311.4,73.8,6.0
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2005,9,1399.4,1319.4,-0.3,1399.1,79.7,6.0
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2006,10,1476.5,1411.8,10.9,1487.4,75.6,5.4
Mandatory,Total Mandatory,1997-03-01,March 1997 Baseline (Pre-Policy),True,2007,11,1555.3,1450.0,28.1,1583.4,133.4,9.2
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,1998,1,869.3,859.3,-0.9,868.5,9.1,1.1
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,1999,2,921.5,900.0,0.5,922.0,22.0,2.4
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2000,3,975.0,951.4,18.8,993.7,42.3,4.5
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2001,4,1032.6,1007.6,23.5,1056.2,48.5,4.8
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2002,5,1072.2,1106.0,38.0,1110.2,4.2,0.4
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2003,6,1152.6,1182.5,61.5,1214.1,31.6,2.7
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2004,7,1221.4,1237.5,55.6,1277.0,39.5,3.2
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2005,8,1309.8,1319.4,53.2,1363.0,43.6,3.3
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2006,9,1364.1,1411.8,82.4,1446.5,34.7,2.5
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2007,10,1451.5,1450.0,84.9,1536.5,86.5,6.0
Mandatory,Total Mandatory,1998-03-01,March 1998 Baseline,True,2008,11,1546.9,1594.9,120.3,1667.2,72.3,4.5
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,1999,1,900.5,900.0,0.0,900.5,0.6,0.1
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2000,2,946.5,951.4,16.4,962.9,11.6,1.2
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2001,3,994.8,1007.6,25.5,1020.3,12.6,1.3
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2002,4,1038.7,1106.0,39.9,1078.6,-27.4,-2.5
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2003,5,1112.2,1182.5,64.8,1177.1,-5.4,-0.5
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2004,6,1177.2,1237.5,61.1,1238.4,0.8,0.1
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2005,7,1255.7,1319.4,60.6,1316.3,-3.2,-0.2
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2006,8,1313.5,1411.8,90.6,1404.1,-7.7,-0.5
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2007,9,1392.9,1450.0,93.9,1486.7,36.7,2.5
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2008,10,1485.3,1594.9,130.8,1616.0,21.1,1.3
Mandatory,Total Mandatory,1999-04-01,April 1999 Baseline,True,2009,11,1579.2,2002.0,418.9,1998.1,-3.9,-0.2
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2000,1,938.3,951.4,9.5,947.7,-3.6,-0.4
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2001,2,981.4,1007.6,21.6,1003.1,-4.6,-0.5
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2002,3,1025.6,1106.0,34.9,1060.5,-45.5,-4.1
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2003,4,1085.8,1182.5,62.4,1148.2,-34.3,-2.9
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2004,5,1154.3,1237.5,59.9,1214.1,-23.4,-1.9
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2005,6,1229.8,1319.4,59.6,1289.4,-30.1,-2.3
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2006,7,1281.2,1411.8,89.6,1370.9,-40.9,-2.9
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2007,8,1352.0,1450.0,92.5,1444.5,-5.5,-0.4
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2008,9,1438.1,1594.9,129.2,1567.3,-27.6,-1.7
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2009,10,1526.2,2002.0,417.4,1943.6,-58.4,-2.9
Mandatory,Total Mandatory,2000-04-01,April 2000 Baseline,True,2010,11,1621.8,1873.3,277.7,1899.6,26.3,1.4
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2001,1,991.3,1007.6,11.4,1002.7,-4.9,-0.5
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2002,2,1063.7,1106.0,20.7,1084.4,-21.6,-2.0
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2003,3,1114.5,1182.5,50.5,1165.0,-17.5,-1.5
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2004,4,1183.9,1237.5,49.1,1233.0,-4.5,-0.4
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2005,5,1267.9,1319.4,49.4,1317.3,-2.1,-0.2
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2006,6,1327.5,1411.8,81.0,1408.5,-3.3,-0.2
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2007,7,1398.6,1450.0,83.6,1482.2,32.3,2.2
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2008,8,1486.3,1594.9,120.9,1607.2,12.3,0.8
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2009,9,1578.1,2002.0,408.5,1986.6,-15.4,-0.8
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2010,10,1675.8,1873.3,268.7,1944.5,71.2,3.8
Mandatory,Total Mandatory,2001-05-01,May 2001 Baseline,True,2011,11,1794.4,2020.8,259.0,2053.4,32.6,1.6
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2002,1,1102.6,1106.0,9.9,1112.5,6.5,0.6
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2003,2,1148.2,1182.5,39.1,1187.3,4.8,0.4
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2004,3,1180.4,1237.5,37.7,1218.1,-19.4,-1.6
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2005,4,1241.0,1319.4,39.7,1280.7,-38.7,-2.9
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2006,5,1312.4,1411.8,68.8,1381.2,-30.6,-2.2
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2007,6,1384.7,1450.0,71.6,1456.2,6.2,0.4
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2008,7,1471.4,1594.9,109.0,1580.3,-14.6,-0.9
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2009,8,1562.3,2002.0,396.8,1959.0,-42.9,-2.1
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2010,9,1661.7,1873.3,255.5,1917.2,43.9,2.3
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2011,10,1778.1,2020.8,244.5,2022.6,1.8,0.1
Mandatory,Total Mandatory,2002-03-01,March 2002 Baseline,True,2012,11,1862.0,2030.3,208.8,2070.8,40.5,2.0
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2003,1,1177.3,1182.5,12.3,1189.6,7.1,0.6
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2004,2,1223.3,1237.5,22.5,1245.7,8.2,0.7
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2005,3,1277.4,1319.4,22.2,1299.6,-19.8,-1.5
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2006,4,1332.2,1411.8,53.5,1385.7,-26.1,-1.8
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2007,5,1403.0,1450.0,56.4,1459.5,9.5,0.7
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2008,6,1483.9,1594.9,92.1,1576.1,-18.8,-1.2
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2009,7,1575.1,2002.0,379.9,1955.0,-47.0,-2.3
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2010,8,1670.0,1873.3,239.9,1909.9,36.6,2.0
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2011,9,1782.5,2020.8,229.9,2012.4,-8.4,-0.4
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2012,10,1861.5,2030.3,195.0,2056.5,26.1,1.3
Mandatory,Total Mandatory,2003-03-01,March 2003 Baseline,True,2013,11,1993.1,2128.3,167.3,2160.4,32.1,1.5
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2004,1,1244.9,1237.5,0.1,1245.0,7.5,0.6
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2005,2,1297.0,1319.4,5.6,1302.6,-16.8,-1.3
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2006,3,1352.1,1411.8,21.2,1373.4,-38.4,-2.7
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2007,4,1429.2,1450.0,11.0,1440.2,-9.8,-0.7
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2008,5,1510.6,1594.9,42.8,1553.3,-41.6,-2.6
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2009,6,1601.0,2002.0,327.5,1928.5,-73.5,-3.7
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2010,7,1694.3,1873.3,183.8,1878.1,4.9,0.3
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2011,8,1806.2,2020.8,170.3,1976.5,-44.3,-2.2
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2012,9,1880.0,2030.3,129.8,2009.8,-20.5,-1.0
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2013,10,2011.3,2128.3,95.7,2107.0,-21.3,-1.0
Mandatory,Total Mandatory,2004-03-01,March 2004 Baseline,True,2014,11,2141.9,2172.9,71.1,2213.0,40.2,1.8
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2005,1,1315.9,1319.4,0.1,1316.1,-3.4,-0.3
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2006,2,1384.7,1411.8,12.1,1396.9,-14.9,-1.1
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2007,3,1456.4,1450.0,10.2,1466.6,16.6,1.1
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2008,4,1539.4,1594.9,41.9,1581.3,-13.6,-0.8
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2009,5,1630.8,2002.0,324.2,1955.1,-46.9,-2.3
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2010,6,1723.6,1873.3,182.2,1905.9,32.6,1.7
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2011,7,1837.6,2020.8,172.0,2009.6,-11.2,-0.6
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2012,8,1908.0,2030.3,132.2,2040.2,9.8,0.5
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2013,9,2041.9,2128.3,97.9,2139.8,11.5,0.5
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2014,10,2172.2,2172.9,72.6,2244.8,72.0,3.3
Mandatory,Total Mandatory,2005-03-01,March 2005 Baseline,True,2015,11,2316.9,2319.3,80.8,2397.7,78.5,3.4
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2006,1,1428.6,1411.8,0.4,1429.0,17.2,1.2
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2007,2,1483.6,1450.0,4.4,1488.0,38.0,2.6
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2008,3,1569.2,1594.9,45.6,1614.9,20.0,1.3
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2009,4,1655.2,2002.0,344.2,1999.4,-2.6,-0.1
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2010,5,1753.0,1873.3,194.4,1947.4,74.1,4.0
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2011,6,1874.9,2020.8,184.0,2058.9,38.1,1.9
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2012,7,1921.1,2030.3,146.2,2067.3,36.9,1.8
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2013,8,2065.2,2128.3,111.0,2176.2,47.9,2.2
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2014,9,2197.5,2172.9,84.2,2281.7,108.9,5.0
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2015,10,2343.4,2319.3,92.9,2436.3,117.0,5.0
Mandatory,Total Mandatory,2006-03-01,March 2006 Baseline,True,2016,11,2535.3,2441.7,127.4,2662.7,221.1,9.1
Mandatory,Total Mandatory,2007-03-01,March 2007 Baseline,True,2007,1,1453.6,1450.0,0.5,1454.1,4.1,0.3
Mandatory,Total Mandatory,2007-03-01,March 2007 Baseline,True,2008,2,1536.2,1594.9,45.2,1581.4,-13.5,-0.8
Mandatory,Total Mandatory,2007-03-01,March 2007 Baseline,True,2009,3,1624.8,2002.0,346.3,1971.1,-30.8,-1.5
Mandatory,Total Mandatory,2007-03-01,March 2007 Baseline,True,2010,4,1714.0,1873.3,196.7,1910.7,37.4,2.0
Mandatory,Total Mandatory,2007-03-01,March 2007 Baseline,True,2011,5,1831.5,2020.8,186.7,2018.3,-2.5,-0.1
Mandatory,Total Mandatory,2007-03-01,March 2007 Baseline,True,2012,6,1869.9,2030.3,147.5,2017.4,-12.9,-0.6
